question,answer
How can I get started with Sikka Prime?, You can sign up now to receive 60-days of access for FREE at https://www.sikka.ai/sikkaprime.
What is Sikka Insights?,Sikka Insights collects up-to-the-minute consent-based deidentified data from dental veterinary and optometry health care providers which utilizes our single API to seamlessly connect with Practice Management Systems. Practice-level data is aggregated to track trends at local state regional or national levels to drive actionable yet insightful decisions.
What are the benefits of using Sikka Insights?,Using Sikka Insights you can increase customer retention predict sales trends find new customers improve customer service increase profits and manage target marketing campaigns. All information is de-identified at both patient and practice levels but at the same time still able to inform estimates of business volume sold by publicly-traded companies such as dental appliance and equipment manufacturers distributors and insurance providers.
What is Sikka.ai?,Sikka.ai is a cloud platform with Artificial Intelligence and Predictive Analytics that optimizes the business of retail healthcare life insurance and markets. It focuses on practices in dentistry vets physician optometry and chiropractic industries.
What is the vision of Sikka.ai?,Sikka.ai's vision is to optimize the business of healthcare with connectivity applications and insights.
What is the mission of Sikka.ai?,Sikka.ai's mission is to be the platform that transforms global retail healthcare.
Why should one choose Sikka.ai?,Sikka.ai has 35K+ practice installations and 139M+ patients on its platform. It is compatible with 96% of the retail healthcare market's practice management and financial systems. Many Fortune 500 companies partner with Sikka.ai and utilize the Sikka ONE API to build innovative apps that optimize healthcare businesses. The Sikka ONE API won the Best Health API Award for 2022 and 2019 from API World.
What are the services provided by Sikka.ai?,Sikka.ai provides apps and services to optimize healthcare businesses and harness the power of opt-in consent-based data to drive actionable yet insightful decisions.
What are the partners of Sikka.ai?,Fortune 500 companies are partners of Sikka.ai. They utilize the Sikka ONE API to build innovative apps that optimize healthcare businesses. Sikka.ai hosts these services on its Marketplace to connect developers with real healthcare providers.
What are the achievements of Sikka.ai's API?,Sikka ONE API won the Best Health API Award for 2022 and 2019 from API World.
How can one contact Sikka.ai?,To contact Sikka.ai one can visit https://www.sikka.ai/contact-us.
What are the statistics related to Sikka.ai's installations and patients?,Sikka.ai has 35K+ practice installations 139M+ human patients and 38M+ pet patients on its platform.
Who is the founder and CEO of Sikka.ai?,Vijay Sikka is the founder and CEO of Sikka.ai.
What is the educational background of Vijay Sikka?,Vijay Sikka holds an M.S. degree in EE and AI from Syracuse University New York pursued doctoral studies in neurosciences at Stanford University (incomplete Ph.D) and is a Registered Continuing Education Provider in California.
What are the companies that Vijay Sikka founded?,Vijay Sikka founded IBrain Software Inc. and Bodha.com.
Who is the Chief Financial Officer of Sikka.ai?,Jasprit Sandhu is the Chief Financial Officer of Sikka.ai.
What is the educational background of Jasprit Sandhu?,Jasprit Sandhu graduated from the Haas School of Business from the University of California at Berkeley.
Who is the General Counsel & Head of Corporate Development of Sikka.ai?,Kelly Slavitt is the General Counsel & Head of Corporate Development of Sikka.ai.
What are the companies that Kelly Slavitt served as General Counsel for?,Kelly Slavitt served as General Counsel for various Founder-led Seed and Series A startups in the healthcare and tech space The American Society for the Prevention of Cruelty to Animals (ASPCA) General Electric and Reckitt Benckiser LLC.
Who is the Vice President of HR of Sikka.ai?,Sally Takemoto is the Vice President of HR of Sikka.ai.
What is the educational background of Sally Takemoto?,Sally Takemoto holds a BS in Business Administration with a concentration in Management from Santa Clara University.
Who is the Vice President Customer Success of Sikka.ai?,Michael Bingham is the Vice President Customer Success of Sikka.ai.
What is the educational background of Michael Bingham?,Michael Bingham graduated from the Brimhall School of Communications at BYU with an emphasis in public relations and international business.
Who is Sanjay Rajak?,Sanjay Rajak is the Head of Technology and API development at Sikka.ai.
What is Sanjay Rajak's experience?,Sanjay Rajak's experience includes real time high performing high availability and high reliability API platform processing billions of transactions.
What is Sanjay Rajak's educational background?,Sanjay Rajak received his bachelor's degree in Information Technology from C.U. Shah College of Engineering & Technology in India. He also received a postgraduate diploma in Information Technology from the Symbiosis Institute of Management Studies in India and has taken courses at Stanford.
Who is Sam Desigan?,Sam Desigan is the Business Leader of KPI API & Clinical Business of Sikka.ai. He has over 20 years of strong Healthcare Technology Finance and Business Development experience.
What is Sam Desigan's professional background?,Sam Desigan has strong Pharma and Biologics experience with Claris Lifesciences (Baxter subsidiary) and deep Medical device experience (with KICVentures and portfolio companies including AxioMed among others). He also has strong business development experience having negotiated Data sales with IMS Symphony Health and Elsevier for a large national clinical association.
Who is Lewis Goldman?,Lewis Goldman is leading Sikka Software’s Insurance business. He has over 20 years of experience in insurance and financial services leveraging data for disruptive innovation across a variety of products and services.
What is Lewis Goldman's professional background?,Lewis Goldman worked for several years in insurance including as head of marketing and product for Global Life Distribution and the MetLife direct to consumer life insurance business. He brings a track record of success nurturing and scaling businesses through marketing new products new channels of distribution partnerships and cross-sell at companies where he worked including Citigroup LinkedIn 1800flowers.com Amazon New York Life and several FinTech and InsurTech startups.
Who are Sikka's executive team? Vijay Sikka, Jasprit Sandhu Kelly Slavitt Sally Takemoto Michael Bingham Sanjay Rajak Sam Desigan and Lewis Goldman.
Who is Mark Fernandes?,Mark Fernandes is a Managing Director at Sierra Ventures a leading early stage Silicon Valley venture capital firm.
What is Mark Fernandes' focus in Sierra Ventures?,Mark Fernandes focuses primarily on the software sector in Sierra Ventures.
What are some of Mark Fernandes' prior investments?,Some of Mark Fernandes' prior investments include Sourcefire (IPO; M&A – Cisco $2.7B) Ooyala (M&A – Telstra) Frontbridge and Opalis (M&A – Microsoft) and DynamicOps (M&A – VMware).
What is Lokesh Sikaria's role at Moneta Ventures?,Lokesh Sikaria is the Managing Director at Moneta Ventures a Sacramento CA-based venture capital firm investing in early stage technology and healthcare businesses.
What is Lokesh Sikaria's previous experience?,Prior to starting Moneta Ventures Lokesh was the Founder and CEO of Sparta Consulting a global IT consulting firm focused on providing SAP technology solutions and services for corporations specializing in automotive high tech manufacturing and energy & utilities. He also served as the Chief Operating Officer at Rapidigm Inc. and began his career at PricewaterhouseCoopers in San Francisco after graduating from the University of California Berkeley with a degree in electrical engineering and computer science.
Who is Vishal Sikka?,Dr. Vishal Sikka is the founder and CEO of Vianai Systems and an expert in AI and the future of work. He has previously served as the CEO and Managing Director of Infosys and Executive Board Member at SAP.
What is Vishal Sikka's educational background?,Vishal Sikka has a PhD in AI from Stanford University.
What is Vishal Sikka's role at Oracle?,Vishal Sikka serves on the Board of Directors of Oracle.
What is Vishal Sikka's role at GSK?,Vishal Sikka serves on the Board of Directors of GSK.
What is Vishal Sikka's role at BMW?,Vishal Sikka serves on the Supervisory Board of BMW.
What is Vishal Sikka's role at Stanford University?,Vishal Sikka serves on the advisory council of Stanford's Human Centered AI initiative.
What is Vianai Systems?,Vianai Systems is a startup company founded and led by Dr. Vishal Sikka that specializes in artificial intelligence.
What are Vishal Sikka's predictions about the future of AI?,Vishal Sikka has predictions about the opportunities and challenges in the next 10 years related to AI.
Who is Vivek Sivathanu?,Vivek Sivathanu Ph.D. is a Vice President on the Private Equity team at OrbiMed Advisors.
What are Vivek Sivathanu's areas of expertise?,Dr. Sivathanu's areas of expertise include venture capital investing company formation and operations corporate development and strategic planning in the biotechnology medtech diagnostics and healthcare industries.
What is Dr. Sivathanu's educational background?,Dr. Sivathanu has a Ph.D. from the Massachusetts Institute of Technology and received a B.Tech from the Indian Institute of Technology Madras.
What is Dr. Sivathanu's previous work experience?,Dr. Sivathanu previously covered the biotechnology industry as a member of the Evercore ISI biotechnology equity research team and was a management consultant at Simon-Kucher focused on commercial strategy for biopharma and medtech companies.
What is ONE API?,ONE API is a single API provided by the Sikka API Platform that allows developers to quickly build secure apps for over 90% of the dental veterinary physician chiropractic and optometry industries.
What is the Sikka Marketplace?,The Sikka Marketplace is a platform that includes apps built using the Sikka API Platform and allows users to easily discover and use those apps.
Why is ONE API important for practice management software development?,ONE API reduces the complexity and maintenance involved in in-house ETL development for practice management software and gets PMS integrated apps to market faster.
What is the ONE data model?,The ONE data model is a unified data model used by ONE API to ensure that request and response data structures are identical across all the practice management software connectors in a single category.
What is the ONE set of API endpoints?,The ONE set of API endpoints is a feature of ONE API that allows a single API request format to work with all practice management software connectors within a single category.
What is the ONE onboard flow for practices?,The ONE onboard flow for practices is a feature provided by Sikka that provides a unified Marketplace flow to onboard practices.
What industries does Sikka's ONE API support?,Sikka's ONE API supports over 400 practice management software integrations across the dental veterinary physician chiropractic and optometry industries.
What can users do with Sikka's ONE API?,Users can effortlessly connect any practice management software and analyze data using Sikka's ONE API.
What is the Practice Query Language API?,The Practice Query Language API allows developers to control individual data points to be displayed leading to faster and more efficient app performance.
What is the Payment Write Back API used for?,The Payment Write Back API provides information on appointment status payment new appointment new patients notes claim notes status insurance status and lab results enabling automation of claims and payment write back.
What is the Patient360 API?,The Patient360 API enables access to consent-based patient data from multiple practice management systems including demographic appointments transactions insurance details and treatment plans among other information sets.
What are the features and pricing of the OneAPI Developer Package?,The OneAPI Developer Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account and more. It has an API rate limit per practice per minute of 20 a record limit of 5000 data refresh once a day and standard email support. It is free to use in the sandbox environment.
What are the features and pricing of the OneAPI Silver Package?,The OneAPI Silver Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal and more. It has an API rate limit per practice per minute of 120 a record limit of 5000 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $35 per month per location.
What are the features and pricing of the OneAPI Gold Package?,The OneAPI Gold Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal Insurance companies claims claim description payment types fee optimizer and practice optimizer KPIs national trends images available in the PMS and more. It has an API rate limit per practice per minute of 120 a record limit of 100 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $45 per month per location.
What are the features and pricing of the OneAPI Platinum Package?,The OneAPI Platinum Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal Insurance companies claims claim description payment types fee optimizer and practice optimizer KPIs national trends images available in the PMS X-Rays from select platforms AI-generated Economic Well Being Health Risk Scores for Patients Customer Life Time Value and Next major Procedure Prediction Payment APIs and Insurance Eligibility Lookup among others. It has an API rate limit per practice per minute of 120 a record limit of 100 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $125 per month per location.
What percentage of markets is Sikka API compatible with?,Sikka API is compatible with approximately 90% of the markets for dental veterinary optometry chiropractic orthodontics oral surgery and others in the U.S. Canada Australia and New Zealand.
What options are available with Sikka API?,Sikka API offers options for multiple countries financial system integration credit card processing artificial intelligence and predictive analytics APIs with location enabled features and secure real time video audio communication.
What is the process for using OneAPI?,The process for using OneAPI involves three steps: 1) Connect to practices by registering on the Sikka Marketplace 2) Install the Sikka Platform Utility on the practice server and 3) Fetch data via API.
Does Sikka Software Corporation offer warranties or guarantees for compatibility?,No Sikka Software Corporation offers no warranties or guarantees for compatibility as it is constantly varying.
Where can one get started with OneAPI?,One can get started with OneAPI by visiting https://api.sikkasoft.com/portal/Home.htm.
What is the Practice Query Language API?,The Practice Query Language API allows developers to control individual data points to be displayed leading to faster and more efficient app performance.
What is the Payment Write Back API used for?,The Payment Write Back API provides information on appointment status payment new appointment new patients notes claim notes status insurance status and lab results enabling automation of claims and payment write back.
What is the Patient360 API?,The Patient360 API enables access to consent-based patient data from multiple practice management systems including demographic appointments transactions insurance details and treatment plans among other information sets.
What are the features and pricing of the OneAPI Developer Package?,The OneAPI Developer Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account and more. It has an API rate limit per practice per minute of 20 a record limit of 5000 data refresh once a day and standard email support. It is free to use in the sandbox environment.
What are the features and pricing of the OneAPI Silver Package?,The OneAPI Silver Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal and more. It has an API rate limit per practice per minute of 120 a record limit of 5000 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $35 per month per location.
What are the features and pricing of the OneAPI Gold Package?,The OneAPI Gold Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal Insurance companies claims claim description payment types fee optimizer and practice optimizer KPIs national trends images available in the PMS and more. It has an API rate limit per practice per minute of 120 a record limit of 100 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $45 per month per location.
What are the features and pricing of the OneAPI Platinum Package?,The OneAPI Platinum Package includes features such as Sikka Marketplace Trends Overview Practices Providers Employers Patients/Pets Appointments Treatment plans Transactions Procedure codes Insurance and guarantor account Procedure codes mapping SPU support portal Insurance companies claims claim description payment types fee optimizer and practice optimizer KPIs national trends images available in the PMS X-Rays from select platforms AI-generated Economic Well Being Health Risk Scores for Patients Customer Life Time Value and Next major Procedure Prediction Payment APIs and Insurance Eligibility Lookup among others. It has an API rate limit per practice per minute of 120 a record limit of 100 data refresh in near real-time (as little as 5 minutes) and Sikka priority technical support. It costs $125 per month per location.
Who is CFO of Sikka.ai,Jasprit Sandhu
